source,song_name,artist,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Desciption,Number
Artlist,My Rhapsody Sounds - Short Version A,Assaf Ayalon,Happy,"Uplifting, Happy, Carefree, Love, Playful","Business, Food, Education, Lifestyle, Urban","Acoustic Guitar, Keys","Cinematic, Acoustic, Pop, Folk, Children, Corporate",145,"A warm and positive, uplifting and feel-good royalty free acoustic folk, with a catchy guitar melody, glockenspiel, bass, drums and shakers, best for ads, vlogs, nature, family, cooking or travel contents.",1
Artlist,Laid Back - Short Version A,The Mind Sweepers,Agitated,"Powerful, Serious, Angry","Road Trip, Sport & Fitness, Fashion, Industry","Electric, Guitar, Acoustic Drums",Rock,78,"This is a powerful and energetic rock music track with catchy electric guitar riffs, hard hitting drums, and upbeat bass. The track is perfect for use in sports videos, advertising, commercials, corporate videos, and more. It will certainly add a touch of energy and excitement to your project.",2
Artlist,Far Taj,ZISO,Vigorous,"Uplifting, Powerful, Carefree, Groovy","Travel, Shorts","Ethnic, Electronic Drums, Bass","World, Electronic, Hip Hop",96,"This is a royalty free Indian music track featuring Indian traditional instruments such as dholak, bansuri, sitar, tabla, santur, tanpura, mridangam, and ghatam. The track has a groovy, energetic, and lively vibe that is perfect for use in various media projects such as films, documentaries, TV shows, advertisements, and more. The track is ideal for Indian culture, travel, and holiday videos, as well as for any project that needs a touch of Indian flavor.",3
Artlist,The Stones - Short Version,Wild Tulip,Sad,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Road Trip, Medical. Landscape, Nature, Slow Motion",Piano,Cinematic,69,"This piece is a solo piano instrumental with a dark, somber mood. It is a very reflective and introspective piece, with a feeling of contemplation and deep thought. The music is slow and deliberate, with a melancholic tone. The piano is the featured instrument, with a simple melody that is repeated throughout the piece. The music is very reflective and introspective, with a feeling of contemplation and deep thought. It is perfect for use in scenes of contemplation, reflection, and introspection, as well as for scenes of sadness, loneliness, and despair.",4
Artlist,Fixed - Short Version B,Swirling Ship,Serious,"Serious, Dramatic, Scary, Dark","Time-Lapse, Drone Shots, Nature, Slow Motion","Electric Guitar, Synth, Electronic Drums, Pads","Ambient, Country, Cinematic",121,"The music is mysterious and dramatic, featuring a soothing flute melody, evocative strings, and atmospheric pads. The mood is suspenseful and ominous, creating a sense of tension and intrigue. The instruments include the flute, strings, and pads. This music would be suitable for a wide range of video themes, including crime and mystery, horror, and suspense. It could also be used in documentaries, video games, and trailers to create a sense of tension and anticipation.",5
Artlist,Inside the War,Alon Ohana,Serious,"Powerful, Serious, Dramatic, Angry, Tense, Scary, Dark","Time-Lapse, Landscape, Nature, Slow Motion, TravelTrailer","Acoustic Drums, Percussion, Backing Vocals","Cinematic, World",74,"The mood of this music is epic, dramatic, and suspenseful. The genre of this music can be classified as experimental, ambient electronic, and sound collage. The instruments used in this music include synthesizers, drums, and vocal samples. This music would be suitable for use in video games, film, and television, particularly in scenes that require a sense of tension, danger, or anticipation.",6
Artlist,Locked in Silence - Short Version C,Assaf Ayalon,Dreamy,"Love, Serious, Dramatic, Hopeful, Sexy","Technology, Time-Lapse, Food, Road Trip, Lifestyle, Urban, Drone Shots, Landscape, Slow Motion","Brass, Pads","Jazz, Cinematic",119,"A mellow, warm and relaxed jazz / soul / funk track featuring a trumpet solo. The track is a little nostalgic and has a feeling of something you might hear in a lounge bar or a club. The track is slow and relaxed and has a relaxed, chilled out vibe.",7
Artlist,How Could I Know - Intro,Ziv Moran,Happy,"Uplifting, Happy, Carefree, Love, Dramatic, Playful, Hopeful, Funny, Exciting","Time-Lapse, Food, Road Trip, Lifestyle, Urban, Fashion, Medical, Industry, Drone Shots, Landscape, NatureTravel, Shorts","Piano, Strings, Percussion, Bells, Keys, Electronic Drums, Woodwinds","Cinematic, Fantasy",118,"An inspiring, uplifting and hopeful Christmas music track with orchestral instruments such as strings, brass, piano, choir, bells, and percussion. It evokes the magic and joy of the holiday season. Perfect for advertising, TV, YouTube, Christmas videos, films, documentaries, and much more.",8
Artlist,Coming Over - Short Version B,Dan Ayalon,Happy,"Uplifting, Carefree, Serious, Playful",Education,"Mandolin & Ukulele, Acoustic Guitar, PercussionWhistle","Country, Cinematic, World, Acoustic, Latin, Corporate",70,"The music is a happy and upbeat reggae instrumental with a whistling melody. The song is medium tempo with a bouncy bass line, a groovy drum beat, and a lively piano accompaniment. The music is perfect for use in commercials, advertising, and marketing campaigns. It is also suitable for use in travel videos, vacation videos, and videos about tropical destinations. The music is upbeat and energetic, making it perfect for use in scenes that require a sense of excitement and joy.",9
Artlist,The 8 Oclock Story - Intro,Ziv Moran,Happy,"Uplifting, Powerful, Carefree, Serious, Dramatic, Playful, Hopeful, Exciting","Business, Technology, Time-Lapse, Urban, Industry, Slow Motion","Bells, Synth, Keys, Electronic Drums","Cinematic, Electronic",116,"This is a bright and uplifting background music track featuring piano, strings, brass, and powerful drums. The uplifting and inspirational mood will evoke feelings of joy, happiness, and motivation. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",10
