source,song_name,artist,Classification,Mood,Video Theme,Instrument,Genre,BPM,LMM Description,Others,Useless
Artlist,My Rhapsody Sounds - Short Version A,Assaf Ayalon,Happy,"Uplifting, Happy, Carefree, Love, Playful","Business, Food, Education, Lifestyle, Urban","Acoustic Guitar, Keys","Cinematic, Acoustic, Pop, Folk, Children, Corporate",145.0,"A positive and uplifting acoustic folk track with an upbeat rhythm and a happy melody. The acoustic guitar strums a catchy rhythm while the piano and celeste play a beautiful melody. The bass and drums add a lively beat to the track. This music is perfect for use in commercials, advertising, and other media projects that need a cheerful and optimistic mood.",nan,nan
Artlist,Laid Back - Short Version A,The Mind Sweepers,Agitated,"Powerful, Serious, Angry","Road Trip, Sport & Fitness, Fashion, Industry","Electric, Guitar, Acoustic Drums",Rock,78.0,"This is a powerful and energetic rock music track with catchy electric guitar riffs, hard hitting drums, and upbeat bass. The track is perfect for use in sports videos, advertising, commercials, corporate videos, and more. It will certainly add a touch of energy and excitement to your project.",nan,nan
Artlist,Far Taj,ZISO,Vigorous,"Uplifting, Powerful, Carefree, Groovy","Travel, Shorts","Ethnic, Electronic Drums, Bass","World, Electronic, Hip Hop",96.0,"A traditional Indian Bhangra track with modern hip hop beats and groovy percussion. The lively and upbeat mood will evoke feelings of joy and celebration. The main instruments include the sitar, tabla, and dholak. This track would be perfect for a commercial, advertisement, or vlog that needs a catchy and upbeat background music.",nan,nan
Artlist,The Stones - Short Version,Wild Tulip,Sad,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Road Trip, Medical, Landscape, Nature, Slow Motion",Piano,Cinematic,69.0,"This piece is a solo piano instrumental with a dark, somber mood. It is a very reflective and introspective piece, with a feeling of contemplation and deep thought. The music is slow and deliberate, with a melancholic tone. The piano is the featured instrument, with a simple melody that is repeated throughout the piece. The music is very reflective and introspective, with a feeling of contemplation and deep thought. It is perfect for use in scenes of contemplation, reflection, and introspection, as well as for scenes of sadness, loneliness, and despair.",nan,nan
Artlist,Fixed - Short Version B,Swirling Ship,Serious,"Serious, Dramatic, Scary, Dark","Time-Lapse, Drone Shots, Nature, Slow Motion","Electric Guitar, Synth, Electronic Drums, Pads","Ambient, Country, Cinematic",121.0,"The music is mysterious and dramatic, featuring a soothing flute melody, evocative strings, and atmospheric pads. The mood is suspenseful and ominous, creating a sense of tension and intrigue. The instruments include the flute, strings, and pads. This music would be suitable for a wide range of video themes, including crime and mystery, horror, and suspense. It could also be used in documentaries, video games, and trailers to create a sense of tension and anticipation.",nan,nan
Artlist,Inside the War,Alon Ohana,Serious,"Powerful, Serious, Dramatic, Angry, Tense, Scary, Dark","Time-Lapse, Landscape, Nature, Slow Motion, Travel, Trailer","Acoustic Drums, Percussion, Backing Vocals","Cinematic, World",74.0,"The mood of this music is epic, dramatic, and suspenseful. The genre of this music can be classified as experimental, ambient electronic, and sound collage. The instruments used in this music include synthesizers, drums, and vocal samples. This music would be suitable for use in video games, film, and television, particularly in scenes that require a sense of tension, danger, or anticipation.",nan,nan
Artlist,Locked in Silence - Short Version C,Assaf Ayalon,Dreamy,"Love, Serious, Dramatic, Hopeful, Sexy","Technology, Time-Lapse, Food, Road Trip, Lifestyle, Urban, Drone Shots, Landscape, Slow Motion","Brass, Pads","Jazz, Cinematic",119.0,"A mellow, warm and relaxed jazz / soul / funk track featuring a trumpet solo. The track is a little nostalgic and has a feeling of something you might hear in a lounge bar or a club. The track is slow and relaxed and has a relaxed, chilled out vibe.",nan,nan
Artlist,How Could I Know - Intro,Ziv Moran,Happy,"Uplifting, Happy, Carefree, Love, Dramatic, Playful, Hopeful, Funny, Exciting","Time-Lapse, Food, Road Trip, Lifestyle, Urban, Fashion, Medical, Industry, Drone Shots, Landscape, Nature, Travel, Shorts","Piano, Strings, Percussion, Bells, Keys, Electronic Drums, Woodwinds","Cinematic, Fantasy",118.0,"An inspiring, uplifting and hopeful Christmas music track with orchestral instruments such as strings, brass, piano, choir, bells, and percussion. It evokes the magic and joy of the holiday season. Perfect for advertising, TV, YouTube, Christmas videos, films, documentaries, and much more.",nan,nan
Artlist,Coming Over - Short Version B,Dan Ayalon,Happy,"Uplifting, Carefree, Serious, Playful",Education,"Mandolin & Ukulele, Acoustic Guitar, Percussion, Whistle","Country, Cinematic, World, Acoustic, Latin, Corporate",70.0,"The music is a happy and upbeat reggae instrumental with a whistling melody. The song is medium tempo with a bouncy bass line, a groovy drum beat, and a lively piano accompaniment. The music is perfect for use in commercials, advertising, and marketing campaigns. It is also suitable for use in travel videos, vacation videos, and videos about tropical destinations. The music is upbeat and energetic, making it perfect for use in scenes that require a sense of excitement and joy.",nan,nan
Artlist,The 8 Oclock Story - Intro,Ziv Moran,Happy,"Uplifting, Powerful, Carefree, Serious, Dramatic, Playful, Hopeful, Exciting","Business, Technology, Time-Lapse, Urban, Industry, Slow Motion","Bells, Synth, Keys, Electronic Drums","Cinematic, Electronic",116.0,"This is a bright and uplifting background music track featuring piano, strings, brass, and powerful drums. The uplifting and inspirational mood will evoke feelings of joy, happiness, and motivation. It will certainly work well with corporate videos, business projects, presentations, commercials, advertising, TV ads, YouTube videos, vlogs, and more.",nan,nan
Artlist,Modern Life Is Thin and Shallow,Kyle Preston,Dreamy,"Uplifting, Happy, Carefree, Love, Playful, Hopeful","Technology, Time-Lapse, Lifestyle, Urban, Fashion, Medical, Industry, Drone Shots, Landscape, Slow Motion, Travel, Shorts","Strings, Percussion, Bells, Orchestra, Woodwinds","Holiday, Children",135.0,"The mood, genre, instruments, and suitable video themes for this music would be described as playful, light-hearted, and whimsical. The music features a light orchestra with pizzicato strings, woodwinds, and a celesta. The instruments create a joyful and upbeat sound that evokes a sense of wonder and excitement. This music would be suitable for use in children's movies, animated films, and commercials that aim to capture the magic and joy of childhood.",nan,nan
Artlist,Magnetic Storms - Short Version,Ian Post,Agitated,"Powerful, Serious, Dramatic, Angry, Tense, Hopeful, Dark, Epic","Technology, Sport & Fitness, Urban, Industry, Landscape, Travel, Gaming, Trailer","Electric Guitar, Acoustic Drums, Strings, Synth","Cinematic, Electronic",113.0,"This track is a hybrid cinematic soundtrack featuring orchestral strings, brass, and epic percussion. The mood is intense and dramatic, perfect for use in film, video games, or trailers. The track begins with a building cinematic intro, leading into a powerful orchestral section with dynamic hits and big bass. The track then builds to a dramatic climax with epic percussion and strings. The final section features a dramatic, powerful ending.",nan,nan
Artlist,Preparing the Cannons,Max H,Agitated,"Serious, Dramatic, Tense, Scary","Technology, Time-Lapse, Fashion, Landscape, Nature, Slow Motion","Acoustic Drums, Percussion, Claps & Snaps","Cinematic, World, Acoustic",75.0,"This is a dynamic and intense track featuring powerful drums, percussion, and cinematic effects. The music is suitable for action, adventure, and suspense scenes in movies, games, and TV shows. The mood is intense, dramatic, and suspenseful. The instruments include taiko drums, timpani, cymbals, and other percussion. The track is ideal for scenes that require a powerful and intense soundtrack, such as car chases, fight scenes, and action sequences.",nan,nan
