source,song_name,artist,mood,video_theme,instrument,genre,bpm,llm_description
Artlist,My Rhapsody Sounds - Short Version A,Assaf Ayalon,"Uplifting, Happy, Carefree, Love, Playful","Business, Food, Education, Lifestyle, Urban","Acoustic Guitar, Keys","Cinematic, Acoustic, Pop, Folk, Children, Corporate",145,"Acoustic guitar, piano, and percussion make up the instrumentation in this upbeat and positive pop song. The tempo is medium with a catchy beat and a fun, uplifting melody. This song is perfect for advertising, commercials, and corporate videos that need a happy and energetic soundtrack."
Artlist,Laid Back - Short Version A,The Mind Sweepers,"Powerful, Serious, Angry","Road Trip, Sport & Fitness, Fashion, Industry","Electric, Guitar, Acoustic Drums",Rock,78,"The music is a pop rock track with a groovy bass line, electric guitar riffs, and punchy drums. The mood is upbeat and energetic. The genre is pop rock. Instruments used are the bass, electric guitar, and drums. This music is suitable for use in videos that need a fun and energetic background, such as commercials, vlogs, and travel videos"
Artlist,Far Taj,ZISO,"Uplifting, Powerful, Carefree, Groovy","Travel, Shorts","Ethnic, Electronic Drums, Bass","World, Electronic, Hip Hop",96,"The mood of this music is energetic, upbeat, and positive. The genre of this music is electronic, dance, and hip-hop. The instruments used in this music are the sitar, tabla, and synthesizer. This music would be suitable for use in action scenes, workout videos, and dancing videos."
Artlist,The Stones - Short Version,Wild Tulip,"Love, Serious, Dramatic, Sad, Hopeful","Time-Lapse, Documentary, Road Trip, Medical. Landscape, Nature, Slow Motion",Piano,Cinematic,69,"The mood, genre, instruments, and suitable video themes for this music are:  dramatic, soundtrack, piano. This music would be suitable for videos that need a sad and emotional soundtrack, such as movies, TV shows, and documentaries."
Artlist,Fixed - Short Version B,Swirling Ship,"Serious, Dramatic, Scary, Dark","Time-Lapse, Drone Shots, Nature, Slow Motion","Electric Guitar, Synth, Electronic Drums, Pads",AmbientCountryCinematic,121,"The mood of this music is mysterious, suspenseful, and cinematic. The genre of this music is soundtrack, ambient, and instrumental. The instruments used in this music are the guitar, bass, and drums. This music would be suitable for video themes such as crime, investigation, and mystery."
Artlist,Variations on Ah vous dirai-je Maman - Var 17,Raviv Leibzirer,Serious,"Time-Lapse, Food, Lifestyle, NatureShorts",Piano,Classical,152,"The mood of the music is playful, the genre is avant-garde, the instruments are the piano, and the suitable video themes are children, cartoons, and animation."
Artlist,Inside the War,Alon Ohana,"Powerful, Serious, Dramatic, Angry, Tense, Scary, Dark","Time-Lapse, Landscape, Nature, Slow Motion, TravelTrailer","Acoustic Drums, Percussion, Backing Vocals","Cinematic, World",74,"The mood of this music is experimental, ambient, and ambient electronic. The genre of this music can be classified as experimental, ambient electronic, and ambient. The instruments used in this music are the drum, bass, and synthesizer. This music is suitable for video themes such as art, technology, and experimental."
Artlist,Locked in Silence - Short Version C,Assaf Ayalon,"Love, Serious, Dramatic, Hopeful, Sexy","Technology, Time-Lapse, Food, Road Trip, Lifestyle, Urban, Drone Shots, Landscape, Slow Motion","Brass, Pads","Jazz, Cinematic",119,"The music is a jazz instrumental. The genre of the music is jazz. The instruments used in the music are the trumpet, saxophone, piano, and trombone. The mood of the music is romantic. The music is suitable for use in the background of a romantic movie or a dinner scene in a movie."
Artlist,How Could I Know - Intro,Ziv Moran,"Uplifting, Happy, Carefree, Love, Dramatic, Playful, Hopeful, Funny, Exciting","Time-Lapse, Food, Road Trip, Lifestyle, Urban, Fashion, Medical, Industry, Drone Shots, Landscape, NatureTravel, Shorts","Piano, Strings, Percussion, Bells, Keys, Electronic Drums, Woodwinds","Cinematic, Fantasy",118,"This is a happy, uplifting and inspiring Christmas music featuring sleigh bells, chimes, strings, brass, choir, glockenspiel, harp, piano, and percussion. It is perfect for Christmas and holiday videos, advertising, commercials, TV and radio shows, corporate presentations, business videos, vlogs, podcasts, and more"
Artlist,Coming Over - Short Version B,Dan Ayalon,"Uplifting, Carefree, Serious, Playful",Education,"Mandolin & Ukulele, Acoustic Guitar, PercussionWhistle","Country, Cinematic, World, Acoustic, Latin, Corporate",70,"The music is a reggae/dancehall instrumental. It features whistling, steel drums, and a steady beat. The genre is tropical. The instruments include the whistle, steel drums, and drums. The mood is happy and upbeat. The video themes for this music could be tropical vacations, beach parties, or island life."
Artlist,The 8 Oclock Story - Intro,Ziv Moran,"Uplifting, Powerful, Carefree, Serious, Dramatic, Playful, Hopeful, Exciting","Business, Technology, Time-Lapse, Urban, Industry, Slow Motion","Bells, Synth, Keys, Electronic Drums","Cinematic, Electronic",116,"The mood of this music is energetic, epic, and suspenseful. The genre of this music is electronic, experimental, and electroacoustic. The instruments used in this music are synthesizer, piano, and strings. This music would be suitable for video themes such as adventure, action, and sci-fi."
Artlist,Modern Life Is Thin and Shallow,Kyle Preston,"Uplifting, Happy, Carefree, Love, Playful, Hopeful","Technology, Time-Lapse, Lifestyle, Urban, Fashion, Medical, Industry, Drone Shots, Landscape, Slow Motion, TravelShorts","Strings, Percussion, Bells, Orchestra, Woodwinds","Holiday, Children",135,"The mood of this music is playful, classical, and mysterious. The genre of this music is soundtrack, experimental, and ambient. The instruments used in this music are the celesta, harp, and orchestra. This music would be suitable for video themes such as adventure, fantasy, and animation."
